fed;slot;oh;vfat;channel
1467;1;0;0;125
1467;1;0;0;126
1467;1;0;0;127
1467;1;0;1;125
1467;1;0;1;126
1467;1;0;1;127
1467;1;0;2;0
1467;1;0;2;2
1467;1;0;2;3
1467;1;0;3;0
1467;1;0;3;2
1467;1;0;3;3
1467;1;0;4;125
1467;1;0;4;126
1467;1;0;4;127
1467;1;0;5;0
1467;1;0;5;2
1467;1;0;5;3
1467;1;0;6;122
1467;1;0;6;125
1467;1;0;6;126
1467;1;0;6;127
1467;1;0;7;0
1467;1;0;7;2
1467;1;0;8;0
1467;1;0;8;2
1467;1;0;8;3
1467;1;0;8;126
1467;1;0;9;0
1467;1;0;9;1
1467;1;0;9;2
1467;1;0;9;3
1467;1;0;9;126
1467;1;0;10;0
1467;1;0;10;2
1467;1;0;10;3
1467;1;0;12;125
1467;1;0;12;126
1467;1;0;12;127
1467;1;0;13;0
1467;1;0;13;1
1467;1;0;13;2
1467;1;0;13;3
1467;1;0;13;4
1467;1;0;13;126
1467;1;0;14;0
1467;1;0;14;124
1467;1;0;14;125
1467;1;0;14;126
1467;1;0;14;127
1467;1;0;15;0
1467;1;0;15;1
1467;1;0;15;2
1467;1;0;15;3
1467;1;0;16;0
1467;1;0;16;2
1467;1;0;16;3
1467;1;0;17;0
1467;1;0;17;2
1467;1;0;17;3
1467;1;0;17;7
1467;1;0;18;122
1467;1;0;18;125
1467;1;0;18;126
1467;1;0;18;127
1467;1;0;19;126
1467;1;0;19;127
1467;1;0;20;0
1467;1;0;20;2
1467;1;0;20;3
1467;1;0;21;125
1467;1;0;21;126
1467;1;0;21;127
1467;1;0;22;0
1467;1;0;22;2
1467;1;0;22;3
1467;1;0;23;126
1467;1;1;0;126
1467;1;1;0;127
1467;1;1;1;125
1467;1;1;1;126
1467;1;1;1;127
1467;1;1;2;0
1467;1;1;2;2
1467;1;1;2;3
1467;1;1;3;0
1467;1;1;3;2
1467;1;1;3;16
1467;1;1;3;20
1467;1;1;4;125
1467;1;1;4;126
1467;1;1;4;127
1467;1;1;5;0
1467;1;1;5;2
1467;1;1;6;123
1467;1;1;6;125
1467;1;1;6;126
1467;1;1;6;127
1467;1;1;7;0
1467;1;1;7;6
1467;1;1;7;52
1467;1;1;7;53
1467;1;1;8;0
1467;1;1;8;2
1467;1;1;8;16
1467;1;1;8;57
1467;1;1;8;60
1467;1;1;8;126
1467;1;1;9;0
1467;1;1;9;2
1467;1;1;10;0
1467;1;1;10;2
1467;1;1;11;3
1467;1;1;11;34
1467;1;1;12;125
1467;1;1;12;126
1467;1;1;13;0
1467;1;1;13;1
1467;1;1;13;2
1467;1;1;13;3
1467;1;1;14;125
1467;1;1;14;126
1467;1;1;15;0
1467;1;1;15;2
1467;1;1;16;0
1467;1;1;16;2
1467;1;1;16;3
1467;1;1;17;0
1467;1;1;17;11
1467;1;1;18;125
1467;1;1;18;126
1467;1;1;18;127
1467;1;1;19;126
1467;1;1;20;0
1467;1;1;20;2
1467;1;1;20;3
1467;1;1;21;125
1467;1;1;21;126
1467;1;1;21;127
1467;1;1;22;0
1467;1;1;23;125
1467;1;1;23;126
1467;1;1;23;127
1467;1;2;0;126
1467;1;2;1;126
1467;1;2;1;127
1467;1;2;2;2
1467;1;2;2;3
1467;1;2;3;2
1467;1;2;3;3
1467;1;2;4;0
1467;1;2;4;2
1467;1;2;4;3
1467;1;2;5;1
1467;1;2;5;2
1467;1;2;5;3
1467;1;2;5;4
1467;1;2;5;6
1467;1;2;6;0
1467;1;2;6;2
1467;1;2;7;0
1467;1;2;7;2
1467;1;2;8;0
1467;1;2;9;0
1467;1;2;9;2
1467;1;2;10;0
1467;1;2;10;2
1467;1;2;12;0
1467;1;2;12;2
1467;1;2;12;3
1467;1;2;13;1
1467;1;2;13;2
1467;1;2;14;0
1467;1;2;15;0
1467;1;2;15;2
1467;1;2;17;2
1467;1;2;18;125
1467;1;2;18;126
1467;1;2;19;126
1467;1;2;20;125
1467;1;2;20;126
1467;1;2;20;127
1467;1;2;21;125
1467;1;2;21;126
1467;1;2;22;126
1467;1;2;23;64
1467;1;2;23;126
1467;1;3;2;2
1467;1;3;2;3
1467;1;3;2;6
1467;1;3;3;2
1467;1;3;4;2
1467;1;3;5;2
1467;1;3;5;3
1467;1;3;6;0
1467;1;3;7;0
1467;1;3;7;1
1467;1;3;9;0
1467;1;3;9;2
1467;1;3;10;0
1467;1;3;13;0
1467;1;3;13;2
1467;1;3;17;14
1467;1;3;17;19
1467;1;3;18;126
1467;1;3;19;126
1467;1;3;20;126
1467;1;3;21;126
1467;1;4;0;126
1467;1;4;1;126
1467;1;4;2;2
1467;1;4;4;92
1467;1;4;4;93
1467;1;4;4;126
1467;1;4;5;0
1467;1;4;5;2
1467;1;4;5;3
1467;1;4;5;13
1467;1;4;5;14
1467;1;4;6;126
1467;1;4;6;127
1467;1;4;9;0
1467;1;4;10;0
1467;1;4;10;2
1467;1;4;12;56
1467;1;4;13;0
1467;1;4;13;1
1467;1;4;13;2
1467;1;4;14;125
1467;1;4;14;126
1467;1;4;17;2
1467;1;4;18;126
1467;1;4;19;126
1467;1;4;20;0
1467;1;4;20;2
1467;1;4;21;29
1467;1;4;21;106
1467;1;4;21;119
1467;1;4;21;126
1467;1;4;22;0
1467;1;4;22;2
1467;1;5;1;126
1467;1;5;1;127
1467;1;5;2;2
1467;1;5;3;2
1467;1;5;3;3
1467;1;5;4;122
1467;1;5;4;126
1467;1;5;4;127
1467;1;5;5;0
1467;1;5;5;2
1467;1;5;6;126
1467;1;5;6;127
1467;1;5;7;2
1467;1;5;9;0
1467;1;5;9;2
1467;1;5;10;0
1467;1;5;10;2
